flight_num,image_label,label_num,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,current_speed,commanded_speed,time_to_collision,safe_frame_start,total_frames
0,safe,0,1.141815423965454,-0.28341028094291687,0.18071579933166504,-0.0010291668586432934,0.18839049339294434,-0.0032789944671094418,1.190261336798619,3,2133045504,12,50
0,safe,1,1.2405034303665161,-0.30814436078071594,0.176654651761055,-0.0010263400617986917,0.1888924092054367,-0.0015519473236054182,1.2903521123402206,3,2082044416,12,50
0,safe,2,1.3348057270050049,-0.33178406953811646,0.16945326328277588,-0.000985236605629325,0.18637804687023163,-7.205437577795237e-05,1.3858215635794584,3,2031043328,12,50
0,safe,3,1.4246196746826172,-0.35430291295051575,0.15977513790130615,-0.0009350032778456807,0.18195149302482605,0.0011243983171880245,1.4766854324159253,3,1980042240,12,50
0,safe,4,1.5050209760665894,-0.3744651675224304,0.14900554716587067,-0.0008703352650627494,0.17658190429210663,0.0019766443874686956,1.5580484437828728,3,1932041216,12,50
0,danger,0,2.699112892150879,-0.67319256067276,-0.05605560913681984,-3.0064893508097157e-05,0.024136902764439583,0.0006225310498848557,2.7823624601471195,3,450009600,12,50
0,danger,1,2.708648443222046,-0.6755246520042419,-0.054783232510089874,-3.527013905113563e-05,0.02266482636332512,0.0005676528089679778,2.7921517055845873,3,399008512,12,50
0,danger,2,2.7176027297973633,-0.6777104139328003,-0.053428150713443756,-3.7064837670186535e-05,0.021273896098136902,0.0005121883004903793,2.8013408520641874,3,345007360,12,50
0,danger,3,2.7260122299194336,-0.6797589659690857,-0.052007026970386505,-4.187749436823651e-05,0.019977744668722153,0.0004580556123983115,2.809967910909301,3,294006272,12,50
0,danger,4,1.9388750791549683,0.10158008337020874,-0.0497419647872448,-0.024007342755794525,-0.009298417717218399,-0.19322970509529114,1.9421712975344319,3,243005184,12,50
1,safe,0,0.10647653788328171,2.8617427349090576,-0.03922389820218086,0.0003824313753284514,0.011823225766420364,0.0008209578227251768,2.8639914888341687,3,1677035776,56,85
1,safe,1,0.10661514848470688,2.866565704345703,-0.037710752338171005,0.000357111101038754,0.01110371109098196,0.0007341160089708865,2.8687955361195234,3,1626034688,56,85
1,safe,2,0.10674192011356354,2.8710968494415283,-0.036224208772182465,0.0003290754393674433,0.010434124618768692,0.0006418993580155075,2.8733087459727975,3,1575033600,56,85
1,safe,3,0.10685770958662033,2.8753535747528076,-0.03476792201399803,0.0003040723386220634,0.009800596162676811,0.0005486448062583804,2.877548532751971,3,1524032512,56,85
1,safe,4,0.10696329921483994,2.879352569580078,-0.03334490582346916,0.0002797799534164369,0.009207641705870628,0.00045819199294783175,2.8815315806131117,3,1473031424,56,85
1,danger,0,0.1079656109213829,2.9284112453460693,-0.010026577860116959,-2.2660777176497504e-05,0.0019286167807877064,-0.00012729231093544513,2.930417978254046,3,450009600,56,85
1,danger,1,0.1079835295677185,2.929194688796997,-0.009521318599581718,-2.1311941964086145e-05,0.0018111001700162888,-0.00014320753689389676,2.931199860644496,3,399008512,56,85
1,danger,2,0.10800157487392426,2.9299306869506836,-0.009040044620633125,-2.561613109719474e-05,0.0017014227341860533,-0.00015721689851488918,2.931934496696216,3,348007424,56,85
1,danger,3,0.10801984369754791,2.93062162399292,-0.008581825532019138,-2.6754063583211973e-05,0.001597716356627643,-0.00016896898159757257,2.932624257789737,3,297006336,56,85
1,danger,4,0.10803838074207306,2.9312703609466553,-0.008145532570779324,-2.8996086257393472e-05,0.0015016047982499003,-0.0001788437512004748,2.933271990521603,3,246005248,56,85
2,safe,0,-0.370265394449234,-2.033259153366089,0.04798746109008789,-0.0035978658124804497,0.1247398629784584,0.01098524872213602,2.067254711808756,3,642013696,15,24
2,safe,1,-0.37984633445739746,-2.0863749980926514,0.035507749766111374,-0.00338117522187531,0.11807626485824585,0.007089077029377222,2.120967861793357,3,591012608,15,24
2,safe,2,-0.38883939385414124,-2.136261463165283,0.023779956623911858,-0.003197902347892523,0.11163140088319778,0.003437887877225876,2.1714913307574975,3,540011520,15,24
2,safe,3,-0.39727750420570374,-2.183095932006836,0.012859856709837914,-0.0030408354941755533,0.10542812943458557,0.00020218778809066862,2.2189868498049523,3,489010432,15,24
2,safe,4,-0.40519246459007263,-2.2270514965057373,0.002780094277113676,-0.0029072838369756937,0.09948494285345078,-0.0025035999715328217,2.2636137105021277,3,438009344,15,24
2,danger,0,-0.4379545748233795,-2.4092273712158203,-0.03501216694712639,-0.002399137709289789,0.07369820773601532,-0.0073211826384067535,2.4489603074893953,3,438009344,15,24
2,danger,1,-0.4433329105377197,-2.439160108566284,-0.040204647928476334,-0.002306185895577073,0.06930600106716156,-0.0068572876043617725,2.4794480269814057,3,387008256,15,24
2,danger,2,-0.4483763873577118,-2.4672300815582275,-0.04469310864806175,-0.002215541899204254,0.0651470199227333,-0.006113213952630758,2.5080396994558116,3,336007168,15,24
2,danger,3,-0.45310646295547485,-2.4935545921325684,-0.04852169379591942,-0.0021241861395537853,0.06121782958507538,-0.0051810964941978455,2.5348519336415425,3,285006080,15,24
2,danger,4,-0.3816578686237335,-2.3762381076812744,-0.044648416340351105,-0.032998062670230865,-0.03254398703575134,-0.06932523101568222,2.407106926200163,3,234004992,15,24
3,safe,0,2.321078300476074,-1.2142711877822876,-0.05776622146368027,-0.0009428993798792362,0.048702456057071686,-0.001728975446894765,2.620151890780628,3,2874061312,37,90
3,safe,1,2.3386337757110596,-1.2234704494476318,-0.059114258736371994,-0.0008923654677346349,0.04570313170552254,-0.0015243033412843943,2.6399966615801067,3,2823060224,37,90
3,safe,2,2.3550961017608643,-1.232111930847168,-0.06005477532744408,-0.0008590816869400442,0.04290318489074707,-0.0013600788079202175,2.6586056561108844,3,2772059136,37,90
3,safe,3,2.3705341815948486,-1.2402310371398926,-0.06062863767147064,-0.0008141847793012857,0.04027901589870453,-0.0012361950939521194,2.6760570179464693,3,2721058048,37,90
