flight_num,image_label,label_num,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,current_speed,commanded_speed,time_to_collision,safe_frame_start,"total_frames, wait_frames"
0,safe,0,-2.4433274269104004,-1.5957107543945312,-0.017237400636076927,-0.00019616374629549682,0.003755365265533328,-0.00024054083041846752,2.918293825981827,3,855018240,59,72
0,safe,1,-2.444624185562134,-1.5965253114700317,-0.01640913262963295,-0.0001791074755601585,0.0035299293231219053,-0.00024893716908991337,2.9198201551522764,3,804017152,59,72
0,safe,2,-2.445842742919922,-1.5972888469696045,-0.015616040676832199,-0.0001648131583351642,0.0033147623762488365,-0.00025175290647894144,2.9212535399163757,3,753016064,59,72
0,safe,3,-2.4469897747039795,-1.5980045795440674,-0.014857016503810883,-0.00014958337123971432,0.003116457723081112,-0.00024971520178951323,2.922601294170835,3,702014976,59,72
0,safe,4,-2.4480679035186768,-1.59867525100708,-0.014131025411188602,-0.00013575323100667447,0.0029273484833538532,-0.00024282139202114195,2.9238670804775055,3,651013888,59,72
0,danger,0,-2.455307960510254,-1.6031270027160645,-0.00888592004776001,-4.2378462239867076e-05,0.001661837799474597,-6.111710536060855e-05,2.9323424642011906,3,444009472,59,72
0,danger,1,-2.455885171890259,-1.6034777164459229,-0.008434651419520378,-3.535745418048464e-05,0.0015601329505443573,-4.020573396701366e-05,2.9330161792928533,3,393008384,59,72
0,danger,2,-2.4564273357391357,-1.6038068532943726,-0.008005054667592049,-2.7832622436108068e-05,0.0014664340997114778,-2.118739575962536e-05,2.9336488814002086,3,342007296,59,72
0,danger,3,-2.4569365978240967,-1.6041157245635986,-0.007596344221383333,-2.187885547755286e-05,0.0013763936003670096,-3.933722382498672e-06,2.9342430724064386,3,291006208,59,72
0,danger,4,-1.9818696975708008,-1.5402064323425293,0.10143495351076126,-0.1043786033987999,-0.1919955462217331,-0.04029712826013565,2.5120375001524975,3,240005120,59,72
1,safe,0,-1.9265843629837036,1.8521721363067627,-0.06061370670795441,0.002013429766520858,0.040813952684402466,-0.0008569108322262764,2.673189658749517,3,1101023488,13,31
1,safe,1,-1.939199447631836,1.864330530166626,-0.060931991785764694,0.0018918345449492335,0.03816986083984375,-0.0014028992736712098,2.690712829536064,3,1047022336,13,31
1,safe,2,-1.95035982131958,1.8750805854797363,-0.06092571094632149,0.0017895011696964502,0.03581434488296509,-0.0016961345681920648,2.7062044595549484,3,996021248,13,31
1,safe,3,-1.9602371454238892,1.8845882415771484,-0.06067907437682152,0.0016918303444981575,0.03373834863305092,-0.0017940447432920337,2.7199052293522423,3,948020224,13,31
1,safe,4,-1.9701073169708252,1.8940820693969727,-0.06019141897559166,0.0015932685928419232,0.03166866675019264,-0.001733017386868596,2.733586057345076,3,897019136,13,31
1,danger,0,-2.05830454826355,1.9782814979553223,-0.04215029999613762,0.0006761134718544781,0.01326762791723013,0.0013931398279964924,2.8551693375953264,3,444009472,13,31
1,danger,1,-2.062008857727051,1.9817698001861572,-0.040684547275304794,0.0006334297358989716,0.012507312931120396,0.0013122432865202427,2.8602355327248303,3,393008384,13,31
1,danger,2,-2.0657150745391846,1.9852533340454102,-0.03914300352334976,0.0005835111951455474,0.011742446571588516,0.0012011235812678933,2.8652995906609267,3,342007296,13,31
1,danger,3,-2.069199323654175,1.9885209798812866,-0.03762425109744072,0.0005411517340689898,0.011026968248188496,0.001070764847099781,2.8700552455849295,3,294006272,13,31
1,danger,4,-0.7319157719612122,1.2707313299179077,-0.033121418207883835,0.11258998513221741,-0.36745429039001465,0.2617816627025604,1.466818270415464,3,243005184,13,31
