flight_num,image_label,label_num,commanded_speed,time_to_collision,safe_frame_start,total_frames
0,safe,0,3,1.2520182291666668,79,102
0,safe,1,3,1.2020182291666668,79,102
0,safe,2,3,1.1520182291666667,79,102
0,safe,3,3,1.1020182291666667,79,102
0,safe,4,3,1.0520182291666667,79,102
0,danger,0,3,0.3520182291666667,79,102
0,danger,1,3,0.30201822916666665,79,102
0,danger,2,3,0.25201822916666666,79,102
0,danger,3,3,0.20201822916666667,79,102
0,danger,4,3,0.15201822916666666,79,102
1,safe,0,3,3.50869140625,4,72
1,safe,1,3,3.4586914062500003,4,72
1,safe,2,3,3.40869140625,4,72
1,safe,3,3,3.35869140625,4,72
1,safe,4,3,3.3086914062500004,4,72
1,danger,0,3,0.35869140625,4,72
1,danger,1,3,0.30869140625,4,72
1,danger,2,3,0.25869140625,4,72
1,danger,3,3,0.20869140625,4,72
1,danger,4,3,0.15869140625,4,72
2,safe,0,3,1.5544596354166669,46,75
2,safe,1,3,1.5044596354166668,46,75
2,safe,2,3,1.4544596354166668,46,75
2,safe,3,3,1.4044596354166667,46,75
2,safe,4,3,1.354459635416667,46,75
2,danger,0,3,0.3544596354166667,46,75
2,danger,1,3,0.30445963541666665,46,75
2,danger,2,3,0.25445963541666666,46,75
2,danger,3,3,0.20445963541666667,46,75
2,danger,4,3,0.15445963541666666,46,75
3,safe,0,3,0.5954264322916667,52,62
3,safe,1,3,0.5454264322916667,52,62
3,safe,2,3,0.4954264322916667,52,62
3,safe,3,3,0.4454264322916667,52,62
3,safe,4,3,0.39542643229166663,52,62
3,danger,0,3,0.3454264322916667,52,62
3,danger,1,3,0.29542643229166665,52,62
3,danger,2,3,0.24542643229166666,52,62
3,danger,3,3,0.19542643229166667,52,62
3,danger,4,3,0.14542643229166666,52,62
4,safe,0,3,0.6476236979166666,16,27
4,safe,1,3,0.5976236979166667,16,27
4,safe,2,3,0.5476236979166667,16,27
4,safe,3,3,0.4976236979166667,16,27
4,safe,4,3,0.4476236979166667,16,27
4,danger,0,3,0.3476236979166667,16,27
4,danger,1,3,0.29762369791666665,16,27
4,danger,2,3,0.24762369791666666,16,27
4,danger,3,3,0.19762369791666667,16,27
4,danger,4,3,0.14762369791666666,16,27
