flight_num,image_label,label_num,commanded_speed,time_to_collision,safe_frame_start,total_frames
0,safe,0,3,2.7665852864583336,64,117
0,safe,1,3,2.7165852864583337,64,117
0,safe,2,3,2.6665852864583335,64,117
0,safe,3,3,2.6165852864583337,64,117
0,safe,4,3,2.566585286458334,64,117
0,danger,0,3,0.3665852864583333,64,117
0,danger,1,3,0.3165852864583334,64,117
0,danger,2,3,0.26658528645833335,64,117
0,danger,3,3,0.21658528645833336,64,117
0,danger,4,3,0.16658528645833334,64,117
1,safe,0,3,2.198111979166667,76,118
1,safe,1,3,2.1481119791666665,76,118
1,safe,2,3,2.0981119791666667,76,118
1,safe,3,3,2.048111979166667,76,118
1,safe,4,3,1.9981119791666668,76,118
1,danger,0,3,0.3481119791666667,76,118
1,danger,1,3,0.29811197916666665,76,118
1,danger,2,3,0.24811197916666666,76,118
1,danger,3,3,0.19811197916666667,76,118
1,danger,4,3,0.14811197916666666,76,118
2,safe,0,3,3.3760579427083335,33,99
2,safe,1,3,3.3260579427083337,33,99
2,safe,2,3,3.276057942708334,33,99
2,safe,3,3,3.2260579427083336,33,99
2,safe,4,3,3.1760579427083337,33,99
2,danger,0,3,0.3260579427083333,33,99
2,danger,1,3,0.2760579427083334,33,99
2,danger,2,3,0.22605794270833335,33,99
2,danger,3,3,0.17605794270833336,33,99
2,danger,4,3,0.12605794270833334,33,99
